zip,estimate,donations,total,donations_per_1000
20866,16680,6180,175550.99000000046,370.50359712230215
21654,1260,6312,175200.69,5009.523809523809
21060,38418,14209,173872.13999999993,369.85267322609195
21163,7222,4816,171400.08000000005,666.8512877319303
20613,14800,6436,170352.85000000012,434.86486486486484
20833,7949,4572,170021.89000000042,575.1666876336647
21797,9034,3224,169015.33999999994,356.8740314367944
21061,55172,10219,168692.45000000004,185.22076415573116
21663,3646,3198,165478.48000000045,877.1256171146462
20743,38692,6852,165297.1299999999,177.09087149798407
20896,840,1962,161566.2600000002,2335.714285714286
21239,28417,11716,161538.66000000044,412.28841890417704
20841,9312,4010,161266.3100000001,430.62714776632305
21054,15687,5833,159548.24000000028,371.83655255944416
20851,14659,5030,158464.17000000016,343.1339109079746
21229,44332,8355,157636.48000000007,188.46431471623208
21214,21510,7525,156481.40000000066,349.8372849837285
20747,39279,9223,156460.6300000003,234.80740344713462
21740,62760,9084,156266.82999999897,144.74187380497133
20837,6651,4684,155442.2500000004,704.2549992482333
20708,27909,7135,155413.97000000026,255.65229854168908
21921,45081,6975,152703.25000000015,154.72150129766422
21215,53674,10084,148706.3900000006,187.87494876476507
21133,32070,8682,146954.52000000025,270.7202993451824
20650,15522,3964,144375.84000000023,255.37946140961216
21774,15096,5176,144050.66000000012,342.87228404875464
21244,39501,9590,141657.7900000002,242.7786638312954
20860,2279,4148,138927.70000000022,1820.096533567354
20646,21248,5566,130374.95000000004,261.95406626506025
21131,7722,2873,130327.89000000012,372.05387205387206
21801,30766,4484,130242.52999999998,145.74530325684196
20712,9630,4346,127500.21000000004,451.2980269989616
21001,25908,9185,126335.17999999996,354.5236992434769
20657,21054,5067,125720.03000000009,240.66685665431748
20872,12932,7302,125311.22000000012,564.6458397772966
20861,3031,2729,124085.48999999998,900.3629165291983
21236,38632,5621,122992.59000000026,145.501138952164
21613,17945,3942,120616.02999999994,219.67121760936195
20639,15058,3313,119571.28999999998,220.0159383716297
21502,41291,7293,116830.50000000042,176.62444600518273
20777,3220,2707,111532.35999999994,840.6832298136646
21206,51020,6518,111044.22,127.75382203057626
20746,28078,5612,110835.93000000008,199.87178573972506
20724,18345,6276,110552.95999999986,342.1095666394113
20602,28988,6758,109716.81999999996,233.1309507382365
21788,11412,2817,109285.4999999998,246.84542586750788
21769,12562,3776,108657.45999999992,300.58907817226554
20732,10676,4164,104842.46,390.03372049456726
21666,14193,3570,104492.80000000018,251.53244557176075
20737,24438,3706,102120.56000000011,151.64907111874948
21158,23011,4343,99560.21000000004,188.7358219981748
21754,7260,3459,99558.51999999968,476.44628099173553
21104,6077,4210,99374.20000000011,692.77604080961
20695,11455,4407,98344.96999999994,384.7228284591881
21227,35052,4190,96694.33000000005,119.536688348739
21619,5776,3573,96216.21999999994,618.5941828254847
21009,32565,5538,94785.23000000004,170.05988023952096
21111,4838,3969,93046.8800000003,820.3803224472923
21738,3786,2133,91235.83999999994,563.391442155309
20784,32191,5749,90245.51000000014,178.59028921127023
20688,1170,3855,84676.29000000008,3294.871794871795
20812,282,416,82029.63,1475.177304964539
20653,27053,3608,81705.0799999999,133.36783351199497
21152,6517,1796,80268.00000000007,275.58692649992327
21237,30983,3793,79481.20000000007,122.42197334021883
21120,7319,2596,77234.65999999997,354.6932641071184
21220,42652,3341,75693.55000000031,78.33161399230985
21213,28862,3715,75637.8300000001,128.7159587000208
20736,9274,3030,72934.04000000002,326.7198619797283
21662,657,821,71666.80999999998,1249.619482496195
21050,18076,3563,70752.11000000012,197.11219296304492
21036,2145,1189,69995.87,554.3123543123543
21047,13419,2633,69101.56999999999,196.21432297488636
20711,7435,1572,67949.20999999996,211.43241425689308
20659,23346,2061,66697.38,88.28064764841943
21048,9759,2073,66157.87999999996,212.41930525668616
21057,4530,2464,65720.03000000001,543.9293598233995
21221,43822,3250,65432.59999999995,74.16366208753594
20794,16035,2890,65081.25000000002,180.23074524477707
21755,5706,2271,65008.77999999997,398.0021030494217
20619,13925,2733,63659.01000000006,196.2657091561939
21793,10882,2311,63179.49999999996,212.36904980702076
21222,60013,3776,62814.88999999995,62.91970073150817
21216,28385,3837,59446.779999999984,135.17703012154305
20636,11089,2316,58391.37,208.85562268915143
20764,3280,1593,58113.28999999995,485.6707317073171
20722,6218,4938,57960.55000000015,794.1460276616276
21617,10401,3054,57825.34999999997,293.62561292183443
21085,16590,2745,55980.65999999996,165.4611211573237
20842,1927,978,55610.649999999994,507.5246497145822
21074,15146,2983,55540.70000000002,196.9496896870461
21140,4255,1294,55152.62999999996,304.11280846063454
21550,13640,1946,54859.00000000003,142.66862170087975
20754,7344,1806,52836.890000000014,245.91503267973854
21658,3883,916,52629.99000000004,235.90007725985063
20880,604,1356,52557.24000000001,2245.0331125827815
21842,10951,2437,52256.51999999999,222.53675463427996
21405,383,1726,51961.95999999998,4506.527415143603
21102,12024,3317,51923.16000000006,275.8649367930805
20676,2897,4042,51759.59,1395.2364515015533
21901,19938,2086,51409.42999999997,104.62433543986357
21770,7786,1985,51007.11,254.94477266889288
20733,2669,1910,50651.11,715.6238291494942
21090,10346,1933,50232.64000000003,186.83549197757588
21128,15934,1908,49255.929999999986,119.74394376804318
20678,12874,2380,49224.85999999996,184.8687276681684
21716,6630,2201,47591.569999999985,331.9758672699849
21710,4988,1509,45716.58000000003,302.5260625501203
20685,6750,2422,44961.41000000005,358.8148148148148
21532,13229,1754,43536.08000000003,132.5874971653186
20776,2966,1344,43335.319999999985,453.13553607552257
21013,5382,1809,42460.45999999997,336.12040133779266
21737,2406,1141,42184.98,474.2310889443059
21153,676,1329,41921.91000000001,1965.976331360947
20714,4767,2108,41288.52999999997,442.2068386826096
21713,9999,1829,40567.68999999998,182.91829182918292
20637,6221,2083,40167.06999999999,334.8336280340781
20778,2564,1436,39547.169999999984,560.0624024960998
20616,6792,1703,38740.899999999994,250.736160188457
21056,318,98,38413,308.1761006289308
21758,4610,1923,35589.54000000006,417.1366594360087
21638,5064,1114,33617.01,219.98420221169036
20623,2457,2075,33616.96000000001,844.5258445258446
21040,25110,2305,33320.56,91.79609717244126
20751,2081,943,30918.42999999999,453.14752522825563
21787,10879,944,30285.629999999997,86.77268131262065
21084,7366,1638,29954.660000000033,222.37306543578606
20779,992,687,29339.599999999988,692.5403225806451
21219,9605,1232,28739.510000000017,128.2665278500781
20710,9781,645,28141.24,65.94417748696452
21794,2309,648,27815.850000000013,280.6409701169337
21904,5975,1461,27753.210000000003,244.51882845188285
21223,20728,1598,27742.830000000005,77.09378618294095
20634,7853,1095,27256.079999999944,139.43715777409906
21225,34872,2446,27074.09999999997,70.14223445744437
21161,5625,1036,26816.29999999997,184.17777777777778
21773,5553,1692,26795.68000000001,304.7001620745543
20686,963,776,26377.35,805.8151609553479
21661,2571,1339,25956.929999999997,520.8090237261765
21795,9772,1602,25785.01000000001,163.93778141629144
21051,113,461,25766.14,4079.6460176991154
21750,3613,1588,25647.73999999999,439.52394132300026
20640,10629,1569,24599.82999999998,147.6150155235676
20630,307,371,24333.75,1208.469055374593
21629,9988,1206,24259.210000000006,120.74489387264718
21034,2958,608,23530.29,205.54428668018932
21205,14684,1021,23248.110000000015,69.53146281667121
21756,3303,706,23079.649999999976,213.74508023009386
21782,4389,1239,23007.480000000003,282.2966507177033
21678,1685,1059,22807.97999999999,628.486646884273
21783,9866,1072,22073.15,108.65599026961281
21776,6434,1182,21786.81,183.71153248368043
21028,2974,777,21243.45,261.2642905178211
21087,5597,656,20466.26,117.20564588172235
20664,2780,225,19794.23,80.93525179856115
21919,3451,995,19727.17,288.3222254419009
21541,1682,381,19362.08,226.51605231866824
20677,2055,666,19220.51,324.08759124087595
21791,4855,1283,18969.599999999995,264.2636457260556
20838,368,448,18843.38,1217.3913043478262
20765,604,376,18800.06,622.5165562913907
21673,2793,437,18756.35,156.4625850340136
21911,10804,1120,18688.95999999996,103.6653091447612
21798,2699,331,18457.95,122.63801407928862
21017,6177,1139,18434.4,184.39371863364093
20689,1884,201,18325.74,106.68789808917198
21813,2927,1012,18157.769999999997,345.74649812094293
21010,216,1196,18019.26,5537.037037037037
21561,2517,752,17515.689999999995,298.7683750496623
20862,268,260,16786.32,970.1492537313433
20763,2219,1067,16640.289999999997,480.8472284812979
21727,6588,606,16539.529999999995,91.98542805100182
21915,2469,792,16423.720000000012,320.7776427703524
21655,4753,427,15772.760000000002,89.8379970544919
21647,450,635,15435.859999999995,1411.1111111111113
21155,3063,578,15340.34,188.70388507998695
21714,272,426,15300.23,1566.1764705882354
21863,4913,778,15254.77,158.35538367596175
21903,5332,1147,15152.06,215.11627906976744
21875,7446,853,14828.73,114.55815202793445
21053,3051,776,14091.339999999998,254.34283841363487
21660,4100,722,14024.06,176.09756097560975
21154,7059,568,14000.14,80.4646550502904
21851,7072,810,13798.000000000004,114.53619909502262
20755,10011,718,13748.61,71.72110678253921
21671,805,397,13720.66,493.167701863354
21643,5021,740,13598.149999999998,147.3809998008365
21777,2360,720,13418.1,305.08474576271186
21082,694,459,13343.93,661.3832853025937
20675,2060,265,13192.1,128.64077669902912
20742,4263,56,12867.61,13.136288998357964
21635,1836,611,12718.539999999995,332.78867102396515
21822,2686,632,12221.479999999998,235.2941176470588
20628,631,43,12163.26,68.14580031695722
21226,5902,636,12090.19,107.76008132836326
20868,630,451,11939.11,715.8730158730159
21162,4322,705,11934.46,163.11892642295234
20839,161,462,11704.82,2869.565217391304
21849,3366,541,11445.820000000002,160.72489601901367
21918,4462,604,11263.31,135.36530703720302
21530,1783,475,11216.91,266.404935501963
20690,843,697,10894.629999999992,826.8090154211151
20645,763,199,10778.3,260.81258191349934
20658,978,288,10475.370000000004,294.47852760736197
21826,5569,717,10358.839999999998,128.74842880229843
21536,3945,466,10208.63,118.12420785804817
21639,4734,559,10110.96,118.08196028728348
20674,807,355,9889.67,439.9008674101611
21830,4837,383,9341.89,79.18131072979119
21676,333,78,9237.36,234.23423423423424
20625,1248,454,9224.020000000004,363.78205128205127
21402,2727,172,9181.1,63.07297396406307
21705,5,449,9141.1,89800
21853,10659,555,8938.869999999994,52.06867435969603
21624,201,164,8929.2,815.9203980099502
20622,5471,356,8922.109999999999,65.07037104734052
21520,2056,197,8828.130000000001,95.8171206225681
21632,6504,758,8827.550000000001,116.54366543665436
21612,557,232,8710.380000000001,416.51705565529625
21650,308,222,8666,720.7792207792207
21071,526,287,8471.130000000001,545.6273764258555
21625,2329,258,8292.2,110.7771575783598
21665,164,141,8093.42,859.7560975609756
21623,2187,282,7916.639999999999,128.94375857338818
20617,630,274,7542.26,434.92063492063494
21667,218,445,7539.389999999999,2041.284403669725
21005,2703,1513,7449.8,559.7484276729559
21023,68,188,7414.900000000003,2764.705882352941
20620,1325,393,7357.65,296.60377358490564
21723,689,214,7010.54,310.5950653120465
21779,1731,475,6884.26,274.4078567302137
20758,542,169,6653.169999999999,311.8081180811808
21780,1975,227,6613.8499999999995,114.9367088607595
21817,4138,312,6336.919999999993,75.39874335427743
21132,3110,185,6295.84,59.4855305466238
20680,588,87,6197.360000000001,147.9591836734694
21917,1884,167,6169.52,88.6411889596603
20618,1087,313,6069.32,287.94848206071754
21841,988,349,6055.21,353.2388663967611
21651,2346,297,5999.56,126.5984654731458
21679,255,213,5971.209999999999,835.2941176470589
21160,2716,285,5854.12,104.93372606774669
21652,143,249,5809.5,1741.2587412587413
21645,1231,196,5711.840000000006,159.22014622258325
20693,1210,226,5676.370000000001,186.77685950413223
21865,393,284,5664.640000000003,722.64631043257
20701,794,127,5610.76,159.94962216624685
20692,721,161,5585.110000000001,223.3009708737864
21555,1515,229,5493.5,151.15511551155114
21837,3165,509,5382.609999999997,160.82148499210112
21814,81,274,5105.589999999998,3382.716049382716
21722,6709,248,4822.030000000004,36.96527053212103
21531,2014,191,4804.52,94.83614697120159
21718,143,165,4618.8,1153.8461538461538
21669,186,146,4473.520000000004,784.9462365591397
21762,176,127,4213.839999999999,721.590909090909
21912,1495,119,4150.6,79.59866220735785
21715,12,93,4130,7750
20626,239,240,3636.8600000000006,1004.18410041841
21610,363,279,3615.8,768.595041322314
21767,873,79,3614.53,90.49255441008017
21631,2787,94,3551.46,33.72802296376032
21640,1374,141,3286.5,102.62008733624454
20662,2590,316,3207.0199999999995,122.00772200772201
21757,2722,121,3157.34,44.45260837619398
20684,627,90,3067.24,143.54066985645932
20899,143,30,3050,209.7902097902098
21717,209,97,3016.26,464.11483253588517
22307,10202,2,3000,0.19603999215840032
