zip,estimate,donations,total,donations_per_1000
20854,49320,12131,944799.1799999998,245.96512570965126
20815,31080,3805,721210.8099999983,122.42599742599742
20817,37795,3009,522987.4099999978,79.61370551660272
21401,40442,8690,458704.35999999574,214.8756243509223
21784,37219,6982,355008.319999996,187.59235874150298
20816,17390,2495,284897.07999999885,143.4732604945371
20878,65954,6764,261582.07000000097,102.55632713709555
21093,38961,9103,260605.55000000255,233.64390031056698
20850,51072,5886,203583.64000000097,115.24906015037594
20814,30234,2487,202639.16000000053,82.25838460011907
21601,23589,3519,198588.0400000003,149.1797024036627
21122,61444,9814,198584.7000000016,159.72267430505826
21042,42528,5156,197983.37000000064,121.23777276147479
21228,50268,8380,190287.5699999994,166.70645340972388
21204,20188,8428,189115.3200000032,417.47572815533977
21409,20619,4980,188649.09000000064,241.52480721664486
21114,25126,5108,183088.8100000013,203.29539122820984
21403,32207,3952,180484.76000000135,122.70624398422703
21146,29710,4267,170297.64000000138,143.62167620329853
21742,34549,5487,163741.37000000075,158.81791079336594
20904,56532,3751,162519.77000000112,66.35180075001769
20852,48379,4380,157263.340000001,90.53514954835775
21771,31653,6746,150894.49000000267,213.12355858844342
21014,37097,7659,148802.47000000265,206.45874329460602
20715,26244,4184,142469.33000000103,159.42691662856274
21740,62760,41865,136944.65000000247,667.0650095602294
20877,38524,4482,135030.5500000012,116.34305887239124
21157,39816,4538,133764.6600000017,113.97428169580068
20874,61922,4528,132768.29000000193,73.12425309260037
21037,21060,2560,132253.67000000077,121.55745489078824
21702,46596,5174,126991.27000000182,111.03957421237874
20853,31794,2626,124813.38000000051,82.59420016355287
20910,45072,4974,124519.65000000046,110.35676251331203
21015,30485,4943,124358.7200000016,162.14531736919795
21220,42652,6821,123716.15000000082,159.9221607427553
21043,47309,6185,122321.36000000112,130.7362235515441
21921,45081,6986,117748.40000000056,154.96550653268562
21136,35038,5753,117010.2300000019,164.19316171014327
21811,24456,3477,115303.71000000108,142.17369970559372
20832,25488,3362,114980.55000000096,131.9052102950408
21701,40787,6057,114826.3500000018,148.50319954887587
20906,71560,5229,113328.51000000157,73.0715483510341
20902,53308,2665,111594.10000000116,49.992496435807006
20650,15522,6687,111278.18000000074,430.80788558175493
21030,25133,2511,108375.52000000064,99.90848684995822
21032,8040,2557,106763.8800000004,318.0348258706467
21035,8360,1619,105207.05000000032,193.6602870813397
21502,41291,4775,103737.06000000116,115.64263398803614
21236,38632,5367,102116.84000000118,138.92627873265687
21117,58516,3482,100675.68000000092,59.50509262423952
21286,21142,3403,97379.96999999994,160.95922807681393
21224,44915,4252,97096.64000000036,94.66770566625848
21061,55172,4334,94884.25000000096,78.5543391575437
21842,10951,6872,94323.41000000104,627.5226006757374
21113,36495,2621,93812.13000000056,71.81805726811892
21108,18046,2665,93759.31000000042,147.6781558240053
21144,37041,4088,93118.1200000007,110.36419103155961
20855,16558,2795,92437.87000000042,168.8005797801667
21012,23144,3137,92377.88000000056,135.5426892499136
20646,21248,5750,92164.8600000004,270.6137048192771
20659,23346,3755,91069.19000000054,160.84125760301552
21797,9034,2300,90915.01000000056,254.5937569183086
21044,45100,2871,89628.98000000049,63.65853658536585
21666,14193,2612,85565.16000000027,184.03438314662156
20895,19273,1821,84943.84000000029,94.48451201162247
20871,27420,4612,80923.96000000063,168.19839533187456
21050,18076,2703,80880.23000000008,149.53529541934057
21234,66095,4150,80660.86000000071,62.78841062107572
20657,21054,1350,80439.92000000038,64.12083214591053
21078,19820,3100,79610.61000000061,156.4076690211907
20639,15058,4060,78700.29000000027,269.6241200690663
21060,38418,2913,77188.22000000016,75.82383257847884
21221,43822,3435,71861.3400000003,78.38528592944184
21208,37319,3218,69404.8800000002,86.22953455344462
21703,39606,2098,67041.95000000004,52.97177195374438
21009,32565,5140,66653.2000000004,157.83816981421774
21045,40980,2114,65944.75000000004,51.58613958028307
20776,2966,1963,65721.77000000003,661.8341200269724
21804,38722,4477,63720.600000000406,115.61902794277155
21158,23011,2036,62736.160000000025,88.4794228847073
21056,318,146,61699,459.1194968553459
21774,15096,2844,60800.73000000003,188.39427662957075
21085,16590,2769,60720.31000000001,166.90777576853526
20876,26572,3321,59598.96000000026,124.98118320036127
21222,60013,3186,58565.289999999986,53.088497492210024
21659,1225,3060,58483.720000000016,2497.9591836734694
21704,18473,1240,58343.60999999997,67.1249932333676
20837,6651,3241,57977.12000000006,487.29514358743046
21212,33861,1784,57711.109999999935,52.68598092200467
21620,13636,3547,57317.93000000011,260.1202698738633
21237,30983,1956,57059.060000000005,63.131394635768004
20740,36583,1193,56220.70999999998,32.61077549681546
21047,13419,1600,55999.08000000003,119.23392205082347
21029,13817,996,55820.07999999995,72.08511254252008
20882,13962,2077,55039.370000000104,148.76092250393927
21054,15687,1243,55027.50999999999,79.23758526168164
20603,32495,1449,54640.36000000012,44.59147561163255
21048,9759,1342,54494.54000000002,137.5140895583564
20708,27909,789,54085.47,28.270450392346554
21131,7722,986,53588.45,127.6871276871277
20745,29355,1032,53411.80999999974,35.155850792028616
21619,5776,1752,53307.83999999997,303.32409972299166
20677,2055,10510,52261.30000000037,5114.355231143552
20905,17451,1413,51927.54000000004,80.96957194430118
21087,5597,2194,51768.68000000009,391.9957119885653
21013,5382,1870,51311.059999999954,347.4544778892605
20678,12874,2547,50940.49999999995,197.84060897933819
21801,30766,2279,50766.34,74.07527790417993
20619,13925,1321,50741.130000000056,94.86535008976661
20637,6221,1342,50569.88999999994,215.72094518566146
21793,10882,1537,46443.080000000016,141.24241867303806
20879,27489,1423,46258.66000000008,51.766161009858486
